basename,yield,solvent1,solvent2,solvent3,solvent4,solvent5,sol_molratio1,sol_molratio2,sol_molratio3,sol_molratio4,sol_molratio5,additive1,additive2,additive3,additive4,additive5,temperature_Celsius,time_h,core_All_Metals,counterions1,counterions2,counterions3,linker_1,linker_2
WODREO,,C1=CC=NC=C1,CN(C)C=O,CS(=O)C,,,0.009,0.474,0.517,,,,,,,,120,72,Co,NO3,,,,
YOKKIU,26.0,CCO,CO,,,,0.677,0.323,,,,,,,,,120,72,Co,NO3,,,,
YOYBUL,,CC(=O)N(C)C,O,CCO,,,0.373,0.479,0.149,,,,,,,,120,72,Zn,NO3,,,n1ccc(cc1)c1ccncc1,
EVADIQ,,CN(C)C=O,CS(=O)C,O,,,0.566,0.088,0.346,,,,,,,,120,96,Dy,NO3,,,[O-]C(=O)c1ccc(nc1)c1ccc(cn1)C(=O)[O-],
HEKTUO,43.0,CC(=O)N(C)C,,,,,1.0,,,,,,,,,,120,96,Cd,NO3,,,[O-]C(=O)c1ccc(cc1)c1cc(cc(c1)C(=O)[O-])C(=O)[O-],
JUSBAC,33.0,CN(C)C=O,,,,,1.0,,,,,,,,,,120,96,Cd,NO3,,,,
NEVJEF,64.0,C1CCOC1,O,,,,0.182,0.818,,,,[OH-].[Na+],,,,,120,96,Cd,NO3,,,[O-]C(=O)CN(c1cc(ccc1C(=O)[O-])C(=O)[O-])CC(=O)[O-],n1ccc(cc1)c1ccncc1
NEVJOP,67.0,C1CCOC1,O,,,,0.182,0.818,,,,[OH-].[Na+],,,,,120,96,Zn,NO3,,,[O-]C(=O)CN(c1cc(ccc1C(=O)[O-])C(=O)[O-])CC(=O)[O-],n1ccc(cc1)c1ccncc1
UWELIS,,CC(=O)N(C)C,,,,,1.0,,,,,,,,,,120,96,Zn,NO3,,,O=C(c1ccncc1)Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-],
IQECIS,,CC(=O)N(C)C,CO,C1COCCO1,,,0.286,0.652,0.062,,,[H+].[B-](F)(F)(F)F,,,,,120,120,Co,SO4,,,,
MAZSUD,83.0,CN(C)C=O,,,,,1.0,,,,,,,,,,120,120,Zn,NO3,,,,
OBIBAF,35.0,CC(=O)N(C)C,O,,,,0.51,0.49,,,,,,,,,120,120,Mg,NO3,,,[O-]C(=O)C,[O-]C(=O)c1ccc(cc1)OCc1c(C)c(COc2ccc(cc2)C(=O)[O-])c(c(c1C)COc1ccc(cc1)C(=O)[O-])C
OBIBEJ,82.0,CN(C)C=O,O,,,,0.553,0.447,,,,,,,,,120,120,Ca,Cl,,,[O-]C(=O)c1ccc(cc1)OCc1c(C)c(COc2ccc(cc2)C(=O)[O-])c(c(c1C)COc1ccc(cc1)C(=O)[O-])C,
OBIBOT,23.0,CC(=O)N(C)C,O,,,,0.51,0.49,,,,,,,,,120,120,Ba,NO3,,,[O-]C(=O)c1ccc(cc1)OCc1c(C)c(COc2ccc(cc2)C(=O)[O-])c(c(c1C)COc1ccc(cc1)C(=O)[O-])C,[O]N(=O)=O
RIPWEU,35.0,O,,,,,1.0,,,,,CC(=O)[O-].[Na+],,,,,120,120,"W,Na,Mn,Sm,K",unknown,unknown,,,
RIPWIY,38.0,O,,,,,1.0,,,,,CC(=O)[O-].[Na+],,,,,120,120,"W,Na,Sm,K",unknown,unknown,NO3,[O-]C(=O)C(=O)[O-],[O]P(=O)([O])[O]
TAGTUT,,CC(=O)N(C)C,CN1CCCN(C1=O)C,,,,0.746,0.254,,,,C(C(=O)C(F)(F)F)C(=O)C(F)(F)F,,,,,120,120,Mg,NO3,,,[O-]C(=O)c1ccc2c(c1)ccc(c2)C(=O)[O-],
TAGVAB,,C(CO)NCCO,CCO,,,,0.633,0.367,,,,,,,,,120,120,Mg,NO3,,,[O-]C(=O)c1ccc(cc1)C(=O)[O-],
YOVNUU,35.0,CN(C)C=O,,,,,1.0,,,,,CCN(CC)CC,,,,,120,120,Ni,NO3,,,,
YOVPEG,35.0,CN(C)C=O,C1=CC=NC=C1,,,,0.981,0.019,,,,,,,,,120,120,Co,OAc,,,[O-]C(=O)c1ccc(cc1)Oc1ccc(cc1)C(=O)[O-],c1ncn(c1)c1ccc(cc1)c1cc(cc(c1)c1ccc(cc1)n1cncc1)c1ccc(cc1)n1cncc1
BIHMUC,,O,,,,,1.0,,,,,[OH-].[Na+],,,,,120,144,Co,Cl,,,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-],[O][C](c1cncc(c1)C(=O)Nc1cccnc1)Nc1cccnc1
HELDOT,,CC(=O)N(C)C,,,,,1.0,,,,,,,,,,120,168,Co,Cl,,,[O-]C(=O)c1ccc(cc1)c1cc(cc(c1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-],
RUGKOV,,CN(C)C=O,O,,,,0.678,0.322,,,,,,,,,120,336,Zn,NO3,,,,
BEFGEA,,CN(C)C=O,C1COCCO1,O,,,0.481,0.291,0.228,,,[N+](=O)(O)[O-],,,,,130,24,In,Cl,,,[O-]C(=O)c1ccc(cc1)c1cc(cc(c1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-],
ILEPEW,41.0,O,CN(C)C=O,,,,0.81,0.19,,,,[N+](=O)(O)[O-],,,,,160,12,"Ba,La",NO3,NO3,,,
NAGQET,,CN(C)C=O,O,,,,0.678,0.322,,,,,,,,,130,24,Co,Cl,,,n1ccc(cc1)C1=NN=C([N]1)c1ccccn1,
NAGQOD,,O,,,,,1.0,,,,,,,,,,130,24,Co,Cl,,,n1ccc(cc1)C1=NN=C([N]1)c1ccccn1,n1ccc(cc1)C1=N[N]C(=N1)c1ccccn1
PAFNAO,62.0,O,CO,,,,0.832,0.168,,,,[OH-].[Na+],,,,,130,24,Cd,NO3,,,,
VICSIL,72.0,CO,O,,,,0.182,0.818,,,,[OH-].[Na+],,,,,130,24,Cu,Cl,,,Cc1c(Cn2ncnc2)c(C)c(c(c1C)Cn1ncnc1)C,[O-]C(=O)c1cc(cc(c1)S([O])([O])[O])C(=O)[O-]
WOXKOL,58.0,O,CN(C)C=O,,,,0.81,0.19,,,,[OH-].[Na+],,,,,130,24,Mn,Cl,,,[O-]C(=O)c1cc(ccc1c1ccc(cc1)c1ccc(cc1)c1ccc(cc1C(=O)[O-])C(=O)[O-])C(=O)[O-],c1ncn(c1)c1ccc(cc1)c1ccc(cc1)n1cncc1
FECYUJ,,CN(C)C=O,,,,,1.0,,,,,,,,,,130,28,Zn,NO3,,,[O-]C(=O)c1ccc2c(c1)ccc(c2)C(=O)[O-],
HEBJAB,56.0,O,,,,,1.0,,,,,[OH-].[Na+],,,,,130,48,Co,CH3COO,,,[O-]C(=O)c1ccc(cc1)COc1cc(cc(c1)C(=O)[O-])C(=O)[O-],n1ccc(cc1)CN1CCN(CC1)Cc1ccncc1
IVUVIG,,CC(=O)N(C)C,O,,,,0.28,0.72,,,,[N+](=O)(O)[O-],,,,,130,48,Sm,NO3,,,[O-]C(=O)c1cc([N][N]c2cc(cc(c2)C(=O)[O-])C(=O)[O-])cc(c1)C(=O)[O-],
JUNBUR,40.0,O,,,,,1.0,,,,,[OH-].[Na+],,,,,130,48,Cd,NO3,,,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-],
ONODOM,28.0,CN(C)C=O,C1CCC(CC1)O,O,,,0.039,0.117,0.843,,,,,,,,130,48,Ni,NO3,,,,
XUBGUY,58.0,CN(C)C=O,,,,,1.0,,,,,,,,,,130,48,"Zr,Si",Cl|O,,,[O-]C(=O)c1ccc(cc1)[Si](c1ccc(cc1)C(=O)[O-])(c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-],
XUDYOM,57.0,CN(C)C=O,,,,,1.0,,,,,,,,,,130,48,In,NO3,,,[O-]C(=O)C(=O)[O-],
DUKMON,55.0,O,,,,,1.0,,,,,[OH-].[Na+],,,,,130,72,Co,Ac,,,[O-]C(=O)c1cc(OCCCCCCOc2cc(cc(c2)C(=O)[O-])C(=O)[O-])cc(c1)C(=O)[O-],c1ncn(c1)Cc1ccc(cc1)Cn1cncc1
FONPUV,49.0,O,,,,,1.0,,,,,,,,,,130,72,Zn,OAc,,,[O-]C(=O)c1ccc(cc1c1ccc(cc1)C(=O)[O-])C(=O)[O-],
LOMMIL,,O,,,,,1.0,,,,,,,,,,130,72,Y,Cl,,,[O-]C(=O)c1ccc(o1)C(=O)[O-],
QARTEK,,O,,,,,1.0,,,,,[OH-].[K+],[NH4+].[F-],,,,130,72,Cd,OAc,,,Fc1ccc(cc1)n1cc(C(=O)[O-])c(=O)c2c1cc(N1CCNCC1)c(c2)F,
TEJBOB,27.0,O,,,,,1.0,,,,,,,,,,130,72,Ag,NO3,,,n1ccc(cc1)C1=NC(=[N]=C([N]1)c1ccncc1)c1ccncc1,
TORXIJ,40.0,CO,O,,,,0.64,0.36,,,,[OH-].[Na+],,,,,130,72,Cu,Cl,,,[N]1C=NN=N1,
UZIJUJ,70.0,O,CN(C)C=O,,,,0.81,0.19,,,,,,,,,130,72,Ce,NO3,,,O=C(c1cc(cc(c1)C(=O)Nc1ccc(cc1)C(=O)[O-])C(=O)Nc1ccc(cc1)C(=O)[O-])Nc1ccc(cc1)C(=O)[O-],
WONBAD,76.0,CN(C)C=O,,,,,1.0,,,,,,,,,,130,72,Cd,NO3,,,,
WOZGUP,50.0,O,,,,,1.0,,,,,[OH-].[Na+],,,,,130,72,Co,OAc,,,C1=N[CH]N([N]1)Cc1ccc(cc1)c1ccc(cc1)Cn1cncn1,N1=C[N]N([CH]1)Cc1ccc(cc1)c1ccc(cc1)CN1[N]C=N[CH]1
YILJAG,,CN(C)C=O,CCO,,,,0.601,0.399,,,,,,,,,130,72,Zn,NO3,,,,
ETEMEX,,CCO,O,CN(C)C=O,,,0.231,0.745,0.023,,,[OH-].[Na+],,,,,130,96,Co,NO3,,,,
IWELIG,60.0,O,,,,,1.0,,,,,[OH-].[Na+],,,,,130,96,Co,OAC,,,O=C1NC=NC2=NC=N[C]12,
LARPIF,72.0,CN(C)C=O,,,,,1.0,,,,,[OH-].[Na+],,,,,130,120,"Na,Fe",OH,Cl,,,
BOPHEV,56.7,CN(C)C=O,,,,,1.0,,,,,[NH4+].[OH-],,,,,130,144,Cd,Br,,,[O-]C(=O)c1cc(c2cccc(c2)C(=O)[O-])c(cc1c1cccc(c1)C(=O)[O-])C(=O)[O-],
BOPHIZ,86.7,CN(C)C=O,,,,,1.0,,,,,[NH4+].[OH-],,,,,130,144,Cd,Br,,,[O-]C(=O)c1cc(c2cccc(c2)C(=O)[O-])c(cc1c1cccc(c1)C(=O)[O-])C(=O)[O-],
RULXOM,50.0,CN(C)C=O,CS(=O)C,,,,0.187,0.813,,,,[H+].[B-](F)(F)(F)F,,,,,135,72,Fe,Cl,,,[O-]C(=O)c1ccc(cc1)C1=NC(=[N]=C([N]1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-],
EZIVAM,73.0,CN(C)C=O,CCO,,,,0.601,0.399,,,,,,,,,140,12,Sr,CO3,,,[O-]C(=O)C1CCN(CC1)C1=NC(=[N]=C([N]1)N1CCC(CC1)C(=O)[O-])N1CCC(CC1)C(=O)[O-],
GUVBOQ,31.0,O,,,,,1.0,,,,,,,,,,140,72,Zn,NO3,,,[O-]C(=O)[C]1C(=CC(=CC1=O)c1cc(cc(c1)c1cc(O)c(c(c1)O)C(=O)[O-])c1cc(O)c(c(c1)O)C(=O)[O-])O,
ECEZAO,,O,,,,,1.0,,,,,[OH-].[Na+],,,,,140,24,Ni,NO3|H2O,,,[O-]C(=O)C1CCC(CC1)C(=O)[O-],
RESWOC,65.0,CN(C)C=O,CCO,O,,,0.193,0.256,0.551,,,,,,,,80,24,Er,NO3,,,[O-]C(=O)c1c(F)c(F)c(c(c1F)F)C(=O)[O-],
RESWUI,43.0,CN(C)C=O,CCO,O,,,0.152,0.201,0.648,,,,,,,,80,24,Er,NO3,,,[O-]C(=O)c1ccc(cc1)C(=O)[O-],
VEYVEC,68.0,O,,,,,1.0,,,,,,,,,,140,24,Co,CH3COO,,,[O-]C(=O)c1c(C(=O)O)c(C(=O)[O-])c(c(c1C(=O)[O-])C(=O)O)C(=O)[O-],n1ccc(cc1)c1ccncc1
KIYMIP,42.0,O,,,,,1.0,,,,,,,,,,140,40,Ni,NO3,,,[O-]C(=O)c1cc(ccc1C(=O)[O-])C(C(F)(F)F)(C(F)(F)F)c1ccc(c(c1)C(=O)[O-])C(=O)[O-],n1ccc(cc1)c1ccncc1
DOQKAW,60.0,CC(=O)N(C)C,,,,,1.0,,,,,,,,,,140,48,Cd,NO3,,,,
DUSHEG,,CC(=O)N(C)C,,,,,1.0,,,,,[H+].[B-](F)(F)(F)F,,,,,140,48,Ni,NO3,,,,
DUSHIK,,CC(=O)N(C)C,,,,,1.0,,,,,[H+].[B-](F)(F)(F)F,,,,,140,48,Fe,Cl,,,,
EXOTOB,50.0,CO,O,,,,0.308,0.692,,,,,,,,,140,48,Ni,NO3,,,[O-]C(=O)c1cccc(c1c1c(cccc1C(=O)[O-])C(=O)[O-])C(=O)[O-],n1ccc(cc1)C1=NC(=[N]=C([N]1)c1ccncc1)c1ccncc1
NEFTUP,10.0,O,CO,,,,0.632,0.368,,,,[N+](=O)(O)[O-],,,,,140,48,Co,NO3,,,[N][N][N],c1ncn(c1)c1ccc(cc1)n1cncc1
QUHMOX,35.0,CS(=O)C,,,,,1.0,,,,,,,,,,140,48,Gd,SO4,,,[O-]C=O,[O]S(=O)(=O)[O]
QUPDEL,35.0,O,,,,,1.0,,,,,,,,,,140,48,Gd,NO3,,,[O-]C(=O)C(=O)[O-],[O-]C(=O)C=CC(=O)[O-]
RUSSAA,61.0,O,,,,,1.0,,,,,,,,,,140,48,"Cd,Co",NO3,NO3,,N#Cc1cccc(c1)C(=O)[O-],[O-]C(=O)c1cccc(c1)C1=NN=N[N]1
TEVHEJ,37.0,CN(C)C=O,,,,,1.0,,,,,,,,,,140,48,Ni,NO3,,,,
VAKLIF,20.0,O,,,,,1.0,,,,,CCN(CC)CC,,,,,140,48,Cd,SO4,,,,
VAKNAZ,35.0,O,,,,,1.0,,,,,CCN(CC)CC,,,,,140,48,Cd,NO3,,,,
VAKNED,18.0,O,,,,,1.0,,,,,CCN(CC)CC,,,,,140,48,Cd,NO3,,,,
WUDQIW,25.0,CCO,O,,,,0.237,0.763,,,,,,,,,140,48,Ni,Cl,,,[O-]C(=O)Cn1cncn1,
EMIYEF,50.0,O,,,,,1.0,,,,,,,,,,140,72,"Mo,Co",O,NO3,,Nn1c(nnc1c1cccnc1)c1cccnc1,
GERWIL,21.0,CCO,CN(C)C=O,,,,0.841,0.159,,,,Cl,,,,,140,72,"Zn,Si",NO3,,,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])[Si](c1cc(cc(c1)C(=O)[O-])C(=O)[O-])(c1cc(cc(c1)C(=O)[O-])C(=O)[O-])c1cc(cc(c1)C(=O)[O-])C(=O)[O-],
HIHFUB,35.0,O,CN(C)C=O,,,,0.681,0.319,,,,Cl,,,,,140,72,"Si,Nd",,Cl,,[O-]C(=O)c1ccc(cc1)[Si](c1ccc(cc1)C(=O)[O-])(c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-],
NANMAS,52.0,O,CCO,,,,0.928,0.072,,,,CCN(CC)CC,,,,,140,72,"Mg,La",O,O,,[O-]C(=O)COCC(=O)[O-],
OGUPIQ,2.0,O,,,,,1.0,,,,,[OH-].[Na+],,,,,140,72,Co,NO3|H2O,,,Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-],
QANSUV,55.0,CC#N,O,,,,0.41,0.59,,,,,,,,,140,72,Cu,NO3,,,,
QINSUD,,CN(C)C=O,CO,,,,0.345,0.655,,,,,,,,,140,72,Mn,OAc,,,[O-]C=O,
REYBAA,65.0,O,CN(C)C=O,,,,0.928,0.072,,,,,,,,,140,72,Zn,Cl,,,[O-]C(=O)c1cc(OCc2ccc(cc2)COc2cc(cc(c2)C(=O)[O-])C(=O)[O-])cc(c1)C(=O)[O-],n1ccc(cc1)[N][N]c1ccncc1
RUFDUT,,CN(C)C=O,O,,,,0.19,0.81,,,,,,,,,140,72,Ni,Ac,,,[O]P(=O)(C(P(=O)([O])[O])(Cc1cccnc1)O)[O],
RUPTED,65.0,CC#N,O,,,,0.172,0.828,,,,CC(=O)O,,,,,140,72,Cu,I,,,[O-]C(=O)c1cnccn1,
SAJDIT,62.0,CN(C)C=O,CN1CCCC1=O,,,,0.882,0.118,,,,C(=O)O,,,,,140,72,Tb,NO3,,,Cc1c(COc2cccc(c2)C(=O)[O-])c(C)c(c(c1COc1cccc(c1)C(=O)[O-])C)COc1cccc(c1)C(=O)[O-],
SEFSOM,,O,,,,,1.0,,,,,[OH-].[Na+],,,,,140,72,Cd,Cl,,,[O-]C(=O)c1cc(cc(c1)S([O])([O])[O])C(=O)[O-],c1ncn(c1)Cc1ccc(cc1)Cn1cncc1
UXIQOJ,46.0,CN(C)C=O,O,,,,0.281,0.719,,,,[N+](=O)(O)[O-],,,,,140,72,Ni,CH3COO,,,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])c1cc(cc(c1)C(=O)[O-])C(=O)[O-],
YOPQEB,57.0,O,CCO,,,,0.763,0.237,,,,[OH-].[Na+],,,,,140,72,Co,NO3,,,[O-]C(=O)c1cc(cc(c1c1cc(cc(c1)C(=O)O)C(=O)[O-])C(=O)[O-])C(=O)[O-],n1ccc(cc1)c1ccncc1
ZALMIL,55.0,O,,,,,1.0,,,,,[OH-].[Na+],,,,,140,72,Co,Cl,,,[O-]C(=O)C1CC(C(=O)[O-])C(CC1C(=O)[O-])C(=O)[O-],c1ncn(c1)Cc1ccc(cc1)Cn1cncc1
COWXOC,74.0,CO,CN(C)C=O,O,,,0.902,0.053,0.045,,,,,,,,140,75,Cd,NO3,,,,
JEBCOJ,78.0,O,,,,,1.0,,,,,,,,,,140,80,"Cu,Sm",O,O,,[O-]C(=O)CNCC(=O)[O-],
HUYXOP,,CN(C)C=O,O,CCO,,,0.192,0.616,0.191,,,,,,,,140,96,Ni,NO3,,,[O-]C=O,c1ncn(c1)c1ccc(cc1)c1ccc(cc1)n1cncc1
HUYXUV,,CN(C)C=O,O,CCO,,,0.192,0.616,0.191,,,C(=O)O,,,,,140,96,Co,NO3,,,[O-]C=O,c1ncn(c1)c1ccc(cc1)c1ccc(cc1)n1cncc1
LASMAV,5.0,CCO,,,,,1.0,,,,,CCN(CC)CC,,,,,140,96,Co,NO3,,,[O-]C(=O)c1ccncc1,
VEMDAT,75.0,O,,,,,1.0,,,,,,,,,,140,96,Zn,CO3,,,,
SOGXAP,,O,,,,,1.0,,,,,,,,,,140,120,Ce,O,,,,
YIPDOR,52.0,O,,,,,1.0,,,,,,,,,,140,120,Cu,NO3,,,n1cnn(c1)Cc1ccc(cc1)c1ccc(cc1)Cn1ncnc1,
ZIQJEQ,70.0,O,,,,,1.0,,,,,Cl,,,,,140,120,Cu,unknown|NO3,,,C1=N[CH]N([N]1)Cc1ccc(cc1)Cn1cncn1,N1=C[N]N([CH]1)Cc1ccc(cc1)CN1[N]C=N[CH]1
OHOLIH,,CN(C)C=O,,,,,1.0,,,,,CCN(CC)CC,,,,,110,20,Zn,NO3,,,,
HIQKID,64.0,O,CN(C)C=O,,,,0.031,0.969,,,,C(=O)O,,,,,150,24,U,Cl,,,,
LALFUB,52.0,O,,,,,1.0,,,,,[N+](=O)(O)[O-],,,,,150,24,Eu,O,,,[O-]C(=O)C(=O)[O-],[O-]C(=O)c1ncc(nc1)C(=O)[O-]
PERSEM,,O,,,,,1.0,,,,,,,,,,150,24,"Zn,U",,NO3|O,,[O-]C(=O)c1c(C(=O)O)c(C(=O)[O-])c(c(c1C(=O)[O-])C(=O)O)C(=O)[O-],
PEWFII,,O,,,,,1.0,,,,,,,,,,150,24,"Cu,U",,NO3|O,,[O-]C(=O)c1cc(C(=O)[O-])c(cc1C(=O)[O-])C(=O)[O-],
FONKEA,62.0,CN(C)C=O,CO,O,,,0.039,0.296,0.665,,,,,,,,150,36,Cd,H2O|L,,,[O-]C(=O)c1ccc(cc1c1ccc(cc1)C(=O)[O-])C(=O)[O-],
DOGZIJ,,O,,,,,1.0,,,,,,,,,,150,43,Zn,NO3|H2O,,,Cc1c(C)c(Cn2cncc2)c(c(c1Cn1cncc1)C)C,[O-]C(=O)c1ccc(cc1)C(=O)[O-]
HUNBIB,,O,,,,,1.0,,,,,,,,,,150,48,"As,Fe",O,C2O4,,,
YUPSIM,5.0,O,,,,,1.0,,,,,[N+](=O)(O)[O-],,,,,150,50,Pr,O,,,Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-],[NH3]c1cc(cc(c1)C(=O)[O-])C(=O)[O-]
FIHFAF,83.0,CN(C)C=O,O,,,,0.483,0.517,,,,,,,,,150,60,Co,NO3,,,,
OTAXOX,61.0,CN(C)C=O,,,,,1.0,,,,,[N+](=O)(O)[O-],,,,,150,60,Mg,CO2CH3,,,[O-]C=O,
QOPPES,,CN(C)C=O,,,,,1.0,,,,,N,,,,,150,65,Co,NO3,,,[O-]C(=O)c1ccc(cc1)C(=O)[O-],[O-]C(=O)c1ccncc1
CAHQAG,61.0,O,,,,,1.0,,,,,,,,,,150,72,Mn,OAc,,,,
HUNBEX,,CCCCO,O,,,,0.09,0.91,,,,CC(=O)O,Cl,,,,150,72,"Zn,K",O,,,[O-]C(=O)C(=O)[O-],
ILOJEZ,51.0,O,,,,,1.0,,,,,[OH-].[Na+],,,,,150,72,Zn,NO3,,,N1=C[N]N([CH]1)Cc1ccc(cc1)c1ccc(cc1)CN1[N]C=N[CH]1,[O-]C(=O)c1cc(C(=O)[O-])c(cc1C(=O)[O-])C(=O)[O-]
ILOTOT,40.0,CO,CC#N,O,,,0.096,0.038,0.866,,,[OH-].[Na+],,,,,150,72,Co,NO3,,,[O-]C(=O)c1ccc(cc1)OCCCOc1ccc(cc1)C(=O)[O-],
IYEPUZ,39.0,CC(=O)N(C)C,CCO,O,,,0.74,0.197,0.063,,,,,,,,150,72,Mn,Cl,,,[O-]C(=O)c1cc(Oc2ccc(cc2)C2=C3C=CC4=[N]3[Mn]35n6c2ccc6C(=C2[N]3=C(C=C2)C(=c2n5c(=C4c3ccc(cc3)Oc3cc(cc(c3)C(=O)[O-])C(=O)[O-])cc2)c2ccc(cc2)Oc2cc(cc(c2)C(=O)[O-])C(=O)[O-])c2ccc(cc2)Oc2cc(cc(c2)C(=O)[O-])C(=O)[O-])cc(c1)C(=O)[O-],
JELPAS,80.0,O,,,,,1.0,,,,,,,,,,150,72,"As,Fe",O,C2O4,,[O-]C(=O)C(=O)[O-],[O][As]([O])[O]
LIVLUZ,53.0,CN(C)C=O,,,,,1.0,,,,,,,,,,150,72,Cd,,,,[O-]C(=O)c1ccc(cc1)N1[N]C=N[CH]1,
NAFGOR,,CC(=O)N(C)C,,,,,1.0,,,,,,,,,,150,72,Co,Ac,,,,
PELXIP,45.0,O,,,,,1.0,,,,,,,,,,150,72,Cd,Cl,,,[O-]C(=O)c1cccc(c1)C1=NN=N[N]1,
SUWQEI,32.0,O,,,,,1.0,,,,,Cl,,,,,150,72,Cu,Cl,,,n1ccc(cc1)c1ccncc1,
TEDSIG,74.0,O,CCO,,,,0.942,0.058,,,,,,,,,150,72,Zn,OAC,,,Cc1nccn1CCCCCCn1ccnc1C,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-]
TORXAB,30.0,O,,,,,1.0,,,,,,,,,,150,72,Cu,Cl,,,[N]1C=NN=N1,[N]1N=NC=N1
VAJQOP,62.0,CCO,O,,,,0.237,0.763,,,,,,,,,150,72,Co,CH3COO,,,[O-]C(=O)c1cnccc1C(=O)[O-],n1ccc(cc1)C=Cc1ccncc1
WARJAC,44.0,O,,,,,1.0,,,,,[OH-].[Na+],,,,,150,72,Ni,SO4,,,[O-]C(=O)C1=N[N]C(=N1)C(=O)[O-],
WISTID,65.0,O,CCO,,,,0.866,0.134,,,,,,,,,150,72,Zn,NO3,,,[O-]C(=O)c1ccc(cc1c1cc(ccc1C(=O)[O-])C(=O)[O-])C(=O)[O-],
WOSHET,64.0,CC#N,,,,,1.0,,,,,N,,,,,150,72,Cu,Br,,,,
WUTCET,,CN(C)C=O,,,,,1.0,,,,,,,,,,150,72,Co,H2O|bpdc,,,,
XUHCAG,51.0,O,,,,,1.0,,,,,CCN(CC)CC,[NH4+].[F-],,,,150,72,Ni,Ac,,,,
YUKVIK,19.0,O,,,,,1.0,,,,,[Li+].[OH-],,,,,150,72,Ni,HCOO,,,[O-]C=O,
BURJOO,35.0,O,,,,,1.0,,,,,[OH-].[Na+],CCN(CC)CC,,,,150,96,Co,NO3,,,[O-]C(=O)c1cc2[nH]cnc2cc1C(=O)[O-],n1ccc(cc1)[C]1N[N]C(=N1)c1ccncc1
CUFJUK,78.6,CN(C)C=O,O,,,,0.149,0.851,,,,OCl(=O)(=O)=O,,,,,150,96,Co,NO3,,,[O-]C(=O)c1cc(c2cccc(c2)C(=O)[O-])c(cc1c1cccc(c1)C(=O)[O-])C(=O)[O-],
IYAJID,32.5,CC(=O)N(C)C,CO,,,,0.637,0.363,,,,[OH-].[Na+],,,,,150,96,"Cd,Na",OAc,,,[O-]C(=O)c1ccc(cc1)C(=O)[O-],
IYAJOJ,35.6,CC(=O)N(C)C,CO,,,,0.637,0.363,,,,[OH-].[Na+],[OH-].[K+],,,,150,96,"Cd,Na,K",OAc,,,[O-]C(=O)c1ccc(cc1)C(=O)[O-],
IYAJUP,30.2,CO,CC(=O)N(C)C,,,,0.363,0.637,,,,[OH-].[K+],,,,,150,96,"Cd,K",OAc,,,[O-]C(=O)c1ccc(cc1)C(=O)[O-],
IYAKAW,,CO,CC(=O)N(C)C,,,,0.363,0.637,,,,,,,,,150,96,"Cd,Mg",OAc,OH,,[O-]C(=O)c1ccc(cc1)C(=O)[O-],
IYAKIE,29.4,CO,CC(=O)N(C)C,,,,0.363,0.637,,,,,,,,,150,96,"Ca,Cd",OH,OAc,,[O-]C(=O)c1ccc(cc1)C(=O)[O-],
LARPOL,91.0,CN(C)C=O,,,,,1.0,,,,,,,,,,150,96,Fe,Cl,,,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-],
LARZEL,76.3,C1=CC=NC=C1,O,,,,0.006,0.994,,,,,,,,,160,96,Cd,NO3|H2O,,,CC1=NC(=C([N]1)C(=O)[O-])C(=O)[O-],CC1=N[C](C(=N1)C(=O)[O-])C(=O)[O-]
ORIBAU,22.6,CO,CN(C)C=O,,,,0.322,0.678,,,,,,,,,150,96,Zn,OAc,,,[O-]C(=O)c1ccc(cc1)C(=O)[O-],
SOTTUR,62.0,CCO,O,,,,0.058,0.942,,,,[OH-].[Na+],,,,,150,96,Sr,NO3,,,[O]P(=O)(C[NH]1CC[NH](CC1)CP(=O)([O])[O])[O],
TOFLAD,,CC(=O)N(C)C,O,,,,0.105,0.895,,,,,,,,,150,96,Cd,NO3,,,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-],n1ccc(cc1)c1cc(nc(c1)c1ccncc1)c1ccncc1
XACSIG,20.0,O,,,,,1.0,,,,,[OH-].[Na+],,,,,150,96,Mn,Cl,,,[O-]C(=O)c1cc(OCc2ccc(cc2)C(=O)[O-])cc(c1)OCc1ccc(cc1)C(=O)[O-],
PABXAT,,O,,,,,1.0,,,,,[OH-].[Na+],,,,,150,120,Pr,NO3,,,[O-]C(=O)C=CC(=O)[O-],
QOSXOM,35.4,CCC(CO)N,C1=CC=CC=C1,,,,0.512,0.488,,,,,,,,,150,120,Zn,Ac,,,,
