iupac,smiles,expt,calc,inchi,selfies,expt_cat
4-hydroxybenzonitrile,c1cc(ccc1C#N)O,-10.17,-8.39,"InChI=1S/C7H5NO/c8-5-6-1-3-7(9)4-2-6/h1-4,9H",[C][=C][C][=Branch1][Branch2][=C][C][=C][Ring1][=Branch1][C][#N][O],medium
methylsulfonylmethane,CS(=O)(=O)C,-10.08,-10.559,"InChI=1S/C2H6O2S/c1-5(2,3)4/h1-2H3",[C][S][=Branch1][C][=O][=Branch1][C][=O][C],medium
3-ethylphenol,CCc1cccc(c1)O,-6.25,-5.272,"InChI=1S/C8H10O/c1-2-7-4-3-5-8(9)6-7/h3-6,9H,2H2,1H3",[C][C][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][O],large
"(1S,5R)-2-methyl-5-(1-methylethenyl)-2-cyclohexen-1-ol",CC1=CC[C@H](C[C@@H]1O)C(=C)C,-4.44,-3.257,"InChI=1S/C10H16O/c1-7(2)9-5-4-8(3)10(11)6-9/h4,9-11H,1,5-6H2,2-3H3/t9-,10+/m1/s1",[C][C][=C][C][C@H1][Branch1][=Branch1][C][C@@H1][Ring1][=Branch1][O][C][=Branch1][C][=C][C],large
"1,4-dibromobenzene",c1cc(ccc1Br)Br,-2.3,-1.091,InChI=1S/C6H4Br2/c7-5-1-2-6(8)4-3-5/h1-4H,[C][=C][C][=Branch1][#Branch1][=C][C][=C][Ring1][=Branch1][Br][Br],very large
dicamba,COc1c(ccc(c1C(=O)O)Cl)Cl,-9.86,-8.658,"InChI=1S/C8H6Cl2O3/c1-13-7-5(10)3-2-4(9)6(7)8(11)12/h2-3H,1H3,(H,11,12)",[C][O][C][=C][Branch1][#C][C][=C][C][=Branch1][=Branch2][=C][Ring1][=Branch1][C][=Branch1][C][=O][O][Cl][Cl],medium
pent-2-ene,CC/C=C\C,1.31,2.374,"InChI=1S/C5H10/c1-3-5-4-2/h3,5H,4H2,1-2H3/b5-3-",[C][C][/C][=C][\C],very large
ethane,CC,1.83,2.465,InChI=1S/C2H6/c1-2/h1-2H3,[C][C],very large
"1,2-dimethoxybenzene",COc1ccccc1OC,-5.33,-4.055,"InChI=1S/C8H10O2/c1-9-7-5-3-4-6-8(7)10-2/h3-6H,1-2H3",[C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][O][C],large
ethylsulfanylethane,CCSCC,-1.46,0.299,"InChI=1S/C4H10S/c1-3-5-4-2/h3-4H2,1-2H3",[C][C][S][C][C],very large
pyridine-3-carbonitrile,c1cc(cnc1)C#N,-6.75,-5.582,"InChI=1S/C6H4N2/c7-4-6-2-1-3-8-5-6/h1-3,5H",[C][=C][C][=Branch1][=Branch1][=C][N][=C][Ring1][=Branch1][C][#N],large
"3,4-dichlorophenol",c1cc(c(cc1O)Cl)Cl,-7.29,-5.139,"InChI=1S/C6H4Cl2O/c7-5-2-1-4(9)3-6(5)8/h1-3,9H",[C][=C][C][=Branch1][#Branch2][=C][Branch1][=Branch1][C][=C][Ring1][=Branch1][O][Cl][Cl],large
anisole,COc1ccccc1,-2.45,-2.318,"InChI=1S/C7H8O/c1-8-7-5-3-2-4-6-7/h2-6H,1H3",[C][O][C][=C][C][=C][C][=C][Ring1][=Branch1],large
"2,5-dimethylphenol",Cc1ccc(c(c1)O)C,-5.91,-5.014,"InChI=1S/C8H10O/c1-6-3-4-7(2)8(9)5-6/h3-5,9H,1-2H3",[C][C][=C][C][=C][Branch1][Branch2][C][=Branch1][Ring2][=C][Ring1][=Branch1][O][C],large
"1,4-dichlorobenzene",c1cc(ccc1Cl)Cl,-1.01,-0.19,InChI=1S/C6H4Cl2/c7-5-1-2-6(8)4-3-5/h1-4H,[C][=C][C][=Branch1][#Branch1][=C][C][=C][Ring1][=Branch1][Cl][Cl],very large
chloro-fluoro-methane,C(F)Cl,-0.77,-0.171,InChI=1S/CH2ClF/c2-1-3/h1H2,[C][Branch1][C][F][Cl],very large
pent-1-ene,CCCC=C,1.68,2.532,"InChI=1S/C5H10/c1-3-5-4-2/h3H,1,4-5H2,2H3",[C][C][C][C][=C],very large
"1,2,3,4-tetrachlorobenzene",c1cc(c(c(c1Cl)Cl)Cl)Cl,-1.34,-0.304,InChI=1S/C6H2Cl4/c7-3-1-2-4(8)6(10)5(3)9/h1-2H,[C][=C][C][=Branch1][=N][=C][Branch1][=Branch2][C][=Branch1][Branch1][=C][Ring1][=Branch1][Cl][Cl][Cl][Cl],very large
hept-1-yne,CCCCCC#C,0.6,0.639,"InChI=1S/C7H12/c1-3-5-7-6-4-2/h1H,4-7H2,2H3",[C][C][C][C][C][C][#C],very large
decan-2-one,CCCCCCCCC(=O)C,-2.34,-2.573,"InChI=1S/C10H20O/c1-3-4-5-6-7-8-9-10(2)11/h3-9H2,1-2H3",[C][C][C][C][C][C][C][C][C][=Branch1][C][=O][C],very large
chlorobenzene,c1ccc(cc1)Cl,-1.12,-0.475,InChI=1S/C6H5Cl/c7-6-4-2-1-3-5-6/h1-5H,[C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][Cl],very large
[2-benzhydryloxyethyl]-dimethyl-amine,CN(C)CCOC(c1ccccc1)c2ccccc2,-9.34,-7.873,"InChI=1S/C17H21NO/c1-18(2)13-14-19-17(15-9-5-3-6-10-15)16-11-7-4-8-12-16/h3-12,17H,13-14H2,1-2H3",[C][N][Branch1][C][C][C][C][O][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1],medium
pentanal,CCCCC=O,-3.03,-2.927,"InChI=1S/C5H10O/c1-2-3-4-5-6/h5H,2-4H2,1H3",[C][C][C][C][C][=O],large
diphenyl ether,c1ccc(cc1)Oc2ccccc2,-2.87,-2.81,InChI=1S/C12H10O/c1-3-7-11(8-4-1)13-12-9-5-2-6-10-12/h1-10H,[C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O][C][=C][C][=C][C][=C][Ring1][=Branch1],large
cyclohexanone,C1CCC(=O)CC1,-4.91,-4.18,InChI=1S/C6H10O/c7-6-4-2-1-3-5-6/h1-5H2,[C][C][C][C][=Branch1][C][=O][C][C][Ring1][#Branch1],large
1-nitrobutane,CCCC[N+](=O)[O-],-3.09,-1.449,"InChI=1S/C4H9NO2/c1-2-3-4-5(6)7/h2-4H2,1H3",[C][C][C][C][N+1][=Branch1][C][=O][O-1],large
pyridine-4-carbaldehyde,c1cnccc1C=O,-7.0,-7.338,InChI=1S/C6H5NO/c8-5-6-1-3-7-4-2-6/h1-5H,[C][=C][N][=C][C][=C][Ring1][=Branch1][C][=O],large
1-chloro-2-(2-chloroethoxy)ethane,C(CCl)OCCCl,-4.23,-2.248,InChI=1S/C4H8Cl2O/c5-1-3-7-4-2-6/h1-4H2,[C][Branch1][Ring1][C][Cl][O][C][C][Cl],large
1-nitroethane,CC[N+](=O)[O-],-3.71,-1.839,"InChI=1S/C2H5NO2/c1-2-3(4)5/h2H2,1H3",[C][C][N+1][=Branch1][C][=O][O-1],large
3-chloropyridine,c1cc(cnc1)Cl,-4.01,-2.767,InChI=1S/C5H4ClN/c6-5-2-1-3-7-4-5/h1-4H,[C][=C][C][=Branch1][=Branch1][=C][N][=C][Ring1][=Branch1][Cl],large
bromomethane,CBr,-0.82,0.46,InChI=1S/CH3Br/c1-2/h1H3,[C][Br],very large
methanol,CO,-5.1,-3.491,"InChI=1S/CH4O/c1-2/h2H,1H3",[C][O],large
heptanal,CCCCCCC=O,-2.67,-2.704,"InChI=1S/C7H14O/c1-2-3-4-5-6-7-8/h7H,2-6H2,1H3",[C][C][C][C][C][C][C][=O],large
"1,3-dichloro-2-(2,6-dichlorophenyl)benzene",c1cc(c(c(c1)Cl)c2c(cccc2Cl)Cl)Cl,-2.28,-1.226,InChI=1S/C12H6Cl4/c13-7-3-1-4-8(14)11(7)12-9(15)5-2-6-10(12)16/h1-6H,[C][=C][C][=Branch2][Ring1][#Branch1][=C][Branch1][Branch2][C][=Branch1][Ring2][=C][Ring1][=Branch1][Cl][C][=C][Branch1][Branch2][C][=C][C][=C][Ring1][=Branch1][Cl][Cl][Cl],very large
2-nitroaniline,c1ccc(c(c1)N)[N+](=O)[O-],-7.37,-7.66,"InChI=1S/C6H6N2O2/c7-5-3-1-2-4-6(5)8(9)10/h1-4H,7H2",[C][=C][C][=C][Branch1][Branch2][C][=Branch1][Ring2][=C][Ring1][=Branch1][N][N+1][=Branch1][C][=O][O-1],large
1-methylpiperidine,CN1CCCCC1,-3.88,-3.467,"InChI=1S/C6H13N/c1-7-5-3-2-4-6-7/h2-6H2,1H3",[C][N][C][C][C][C][C][Ring1][=Branch1],large
octanal,CCCCCCCC=O,-2.29,-2.57,"InChI=1S/C8H16O/c1-2-3-4-5-6-7-8-9/h8H,2-7H2,1H3",[C][C][C][C][C][C][C][C][=O],very large
nitrobenzene,c1ccc(cc1)[N+](=O)[O-],-4.12,-3.46,InChI=1S/C6H5NO2/c8-7(9)6-4-2-1-3-5-6/h1-5H,[C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N+1][=Branch1][C][=O][O-1],large
"(2S,5R)-2-isopropyl-5-methylcyclohexanone",C[C@@H]1CC[C@H](C(=O)C1)C(C)C,-2.53,-3.523,"InChI=1S/C10H18O/c1-7(2)9-5-4-8(3)6-10(9)11/h7-9H,4-6H2,1-3H3/t8-,9+/m1/s1",[C][C@@H1][C][C][C@H1][Branch1][Branch2][C][=Branch1][C][=O][C][Ring1][#Branch1][C][Branch1][C][C][C],large
"(2R,3R,4S,5S,6R)-6-(hydroxymethyl)tetrahydropyran-2,3,4,5-tetrol",C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O)O)O)O)O,-25.47,-18.095,"InChI=1S/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2/t2-,3-,4+,5-,6-/m1/s1",[C][Branch2][Ring1][Branch1][C@@H1][C@H1][Branch1][S][C@@H1][Branch1][N][C@H1][Branch1][Branch2][C@@H1][Branch1][Ring2][O][Ring1][=Branch1][O][O][O][O][O],very small
fluoromethane,CF,-0.22,0.881,InChI=1S/CH3F/c1-2/h1H3,[C][F],very large
methylsulfinylmethane,CS(=O)C,-9.28,-8.243,InChI=1S/C2H6OS/c1-4(2)3/h1-2H3,[C][S][=Branch1][C][=O][C],medium
dibenzo-p-dioxin,c1ccc2c(c1)Oc3ccccc3O2,-3.15,-4.9,InChI=1S/C12H8O2/c1-2-6-10-9(5-1)13-11-7-3-4-8-12(11)14-10/h1-8H,[C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][O][C][=C][C][=C][C][=C][Ring1][=Branch1][O][Ring1][O],large
2-methylaniline,Cc1ccccc1N,-5.53,-5.325,"InChI=1S/C7H9N/c1-6-4-2-3-5-7(6)8/h2-5H,8H2,1H3",[C][C][=C][C][=C][C][=C][Ring1][=Branch1][N],large
1-bromobutane,CCCCBr,-0.4,0.705,"InChI=1S/C4H9Br/c1-2-3-4-5/h2-4H2,1H3",[C][C][C][C][Br],very large
nonan-1-ol,CCCCCCCCCO,-3.88,-2.564,"InChI=1S/C9H20O/c1-2-3-4-5-6-7-8-9-10/h10H,2-9H2,1H3",[C][C][C][C][C][C][C][C][C][O],large
4-methylpyridine,Cc1ccncc1,-4.93,-3.343,"InChI=1S/C6H7N/c1-6-2-4-7-5-3-6/h2-5H,1H3",[C][C][=C][C][=N][C][=C][Ring1][=Branch1],large
"1,1,2,2-tetrachloroethylene",C(=C(Cl)Cl)(Cl)Cl,0.1,1.328,InChI=1S/C2Cl4/c3-1(4)2(5)6,[C][=Branch1][=Branch1][=C][Branch1][C][Cl][Cl][Branch1][C][Cl][Cl],very large
2-bromo-2-methyl-propane,CC(C)(C)Br,0.84,0.438,"InChI=1S/C4H9Br/c1-4(2,3)5/h1-3H3",[C][C][Branch1][C][C][Branch1][C][C][Br],very large
"1,1-diphenylethene",C=C(c1ccccc1)c2ccccc2,-2.78,-2.47,"InChI=1S/C14H12/c1-12(13-8-4-2-5-9-13)14-10-6-3-7-11-14/h2-11H,1H2",[C][=C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1],large
1-ethyl-4-methyl-benzene,CCc1ccc(cc1)C,-0.95,-0.575,"InChI=1S/C9H12/c1-3-9-6-4-8(2)5-7-9/h4-7H,3H2,1-2H3",[C][C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C],very large
3-methylpyridine,Cc1cccnc1,-4.77,-3.221,"InChI=1S/C6H7N/c1-6-3-2-4-7-5-6/h2-5H,1H3",[C][C][=C][C][=C][N][=C][Ring1][=Branch1],large
"1,1,1,2-tetramethoxyethane",COCC(OC)(OC)OC,-5.73,-5.436,"InChI=1S/C6H14O4/c1-7-5-6(8-2,9-3)10-4/h5H2,1-4H3",[C][O][C][C][Branch1][Ring1][O][C][Branch1][Ring1][O][C][O][C],large
9H-fluorene,c1ccc-2c(c1)Cc3c2cccc3,-3.35,-4.269,"InChI=1S/C13H10/c1-3-7-12-10(5-1)9-11-6-2-4-8-13(11)12/h1-8H,9H2",[C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][C][=C][Ring1][=Branch1][C][=C][C][=C][Ring1][=Branch1],large
acetamide,CC(=O)N,-9.71,-8.82,"InChI=1S/C2H5NO/c1-2(3)4/h1H3,(H2,3,4)",[C][C][=Branch1][C][=O][N],medium
dimethyl sulfate,COS(=O)(=O)OC,-5.1,-8.411,"InChI=1S/C2H6O4S/c1-5-7(3,4)6-2/h1-2H3",[C][O][S][=Branch1][C][=O][=Branch1][C][=O][O][C],large
"1,1,2,2-tetrachloroethane",C(C(Cl)Cl)(Cl)Cl,-2.37,-0.534,InChI=1S/C2H2Cl4/c3-1(4)2(5)6/h1-2H,[C][Branch1][=Branch1][C][Branch1][C][Cl][Cl][Branch1][C][Cl][Cl],large
methyl cyclohexanecarboxylate,COC(=O)C1CCCCC1,-3.3,-4.376,"InChI=1S/C8H14O2/c1-10-8(9)7-5-3-2-4-6-7/h7H,2-6H2,1H3",[C][O][C][=Branch1][C][=O][C][C][C][C][C][C][Ring1][=Branch1],large
1-bromohexane,CCCCCCBr,0.18,1.076,"InChI=1S/C6H13Br/c1-2-3-4-5-6-7/h2-6H2,1H3",[C][C][C][C][C][C][Br],very large
1-bromoheptane,CCCCCCCBr,0.34,1.223,"InChI=1S/C7H15Br/c1-2-3-4-5-6-7-8/h2-7H2,1H3",[C][C][C][C][C][C][C][Br],very large
1-chlorodibenzo-p-dioxin,c1ccc2c(c1)Oc3cccc(c3O2)Cl,-3.52,-4.473,InChI=1S/C12H7ClO2/c13-8-4-3-7-11-12(8)15-10-6-2-1-5-9(10)14-11/h1-7H,[C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][O][C][=C][C][=C][C][=Branch1][#Branch1][=C][Ring1][=Branch1][O][Ring1][O][Cl],large
"3,3,3-trimethoxypropanenitrile",COC(CC#N)(OC)OC,-6.4,-5.859,"InChI=1S/C6H11NO3/c1-8-6(9-2,10-3)4-5-7/h4H2,1-3H3",[C][O][C][Branch1][Ring2][C][C][#N][Branch1][Ring1][O][C][O][C],large
2-chlorobutane,CC[C@H](C)Cl,0.0,0.927,"InChI=1S/C4H9Cl/c1-3-4(2)5/h4H,3H2,1-2H3/t4-/m0/s1",[C][C][C@H1][Branch1][C][C][Cl],very large
hexylbenzene,CCCCCCc1ccccc1,-0.04,-0.1,"InChI=1S/C12H18/c1-2-3-4-6-9-12-10-7-5-8-11-12/h5,7-8,10-11H,2-4,6,9H2,1H3",[C][C][C][C][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1],very large
2-chlorosyringaldehyde,COc1cc(c(c(c1O)OC)Cl)C=O,-7.78,-8.292,"InChI=1S/C9H9ClO4/c1-13-6-3-5(4-11)7(10)9(14-2)8(6)12/h3-4,12H,1-2H3",[C][O][C][=C][C][=Branch1][=C][=C][Branch1][#Branch2][C][=Branch1][Branch1][=C][Ring1][=Branch1][O][O][C][Cl][C][=O],large
m-bis(trifluoromethyl)benzene,c1cc(cc(c1)C(F)(F)F)C(F)(F)F,1.07,-0.34,"InChI=1S/C8H4F6/c9-7(10,11)5-2-1-3-6(4-5)8(12,13)14/h1-4H",[C][=C][C][=Branch1][S][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][Branch1][C][F][Branch1][C][F][F][C][Branch1][C][F][Branch1][C][F][F],very large
1-benzylimidazole,c1ccc(cc1)Cn2ccnc2,-7.63,-7.997,"InChI=1S/C10H10N2/c1-2-4-10(5-3-1)8-12-7-6-11-9-12/h1-7,9H,8H2",[C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][N][C][=C][N][=C][Ring1][Branch1],large
naphthalen-1-amine,c1ccc2c(c1)cccc2N,-7.28,-7.777,"InChI=1S/C10H9N/c11-10-7-3-5-8-4-1-2-6-9(8)10/h1-7H,11H2",[C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=C][C][=C][Ring1][#Branch1][N],large
diethyl propanedioate,CCOC(=O)CC(=O)OCC,-6.0,-6.716,"InChI=1S/C7H12O4/c1-3-10-6(8)5-7(9)11-4-2/h3-5H2,1-2H3",[C][C][O][C][=Branch1][C][=O][C][C][=Branch1][C][=O][O][C][C],large
1-cyclopropylethanone,CC(=O)C1CC1,-4.61,-3.043,"InChI=1S/C5H8O/c1-4(6)5-2-3-5/h5H,2-3H2,1H3",[C][C][=Branch1][C][=O][C][C][C][Ring1][Ring1],large
pyrrole,c1cc[nH]c1,-4.78,-4.014,InChI=1S/C4H5N/c1-2-4-5-3-1/h1-5H,[C][C][=C][NH1][C][=Ring1][Branch1],large
diflunisal,c1cc(c(cc1c2ccc(cc2F)F)C(=O)O)O,-9.4,-6.613,"InChI=1S/C13H8F2O3/c14-8-2-3-9(11(15)6-8)7-1-4-12(16)10(5-7)13(17)18/h1-6,16H,(H,17,18)",[C][=C][C][=Branch2][Ring1][=Branch2][=C][Branch1][P][C][=C][Ring1][=Branch1][C][=C][C][=C][Branch1][=Branch1][C][=C][Ring1][=Branch1][F][F][C][=Branch1][C][=O][O][O],medium
"1,4-dimethylcyclohexane",CC1CCC(CC1)C,2.11,1.918,"InChI=1S/C8H16/c1-7-3-5-8(2)6-4-7/h7-8H,3-6H2,1-2H3",[C][C][C][C][C][Branch1][Branch1][C][C][Ring1][=Branch1][C],very large
cyclohexanol,C1CCC(CC1)O,-5.46,-4.178,"InChI=1S/C6H12O/c7-6-4-2-1-3-5-6/h6-7H,1-5H2",[C][C][C][C][Branch1][Branch1][C][C][Ring1][=Branch1][O],large
Amitriptyline,CN(C)CCC=C1c2ccccc2CCc3c1cccc3,-7.43,-7.349,"InChI=1S/C20H23N/c1-21(2)15-7-12-20-18-10-5-3-8-16(18)13-14-17-9-4-6-11-19(17)20/h3-6,8-12H,7,13-15H2,1-2H3",[C][N][Branch1][C][C][C][C][C][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][C][=C][Ring1][O][C][=C][C][=C][Ring1][=Branch1],large
4-fluorophenol,c1cc(ccc1O)F,-6.19,-4.955,"InChI=1S/C6H5FO/c7-5-1-3-6(8)4-2-5/h1-4,8H",[C][=C][C][=Branch1][#Branch1][=C][C][=C][Ring1][=Branch1][O][F],large
2-chloroaniline,c1ccc(c(c1)N)Cl,-4.91,-4.847,"InChI=1S/C6H6ClN/c7-5-3-1-2-4-6(5)8/h1-4H,8H2",[C][=C][C][=C][Branch1][Branch2][C][=Branch1][Ring2][=C][Ring1][=Branch1][N][Cl],large
"1,2,4-trimethylbenzene",Cc1ccc(c(c1)C)C,-0.86,-0.795,"InChI=1S/C9H12/c1-7-4-5-8(2)9(3)6-7/h4-6H,1-3H3",[C][C][=C][C][=C][Branch1][Branch2][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][C],very large
1-ethyl-2-methylbenzene,CCc1ccccc1C,-0.85,-0.761,"InChI=1S/C9H12/c1-3-9-7-5-4-6-8(9)2/h4-7H,3H2,1-2H3",[C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C],very large
"(2R,5R)-2-methyl-5-(1-methylethenyl)-cyclohexanone",C[C@@H]1CC[C@H](CC1=O)C(=C)C,-3.75,-3.344,"InChI=1S/C10H16O/c1-7(2)9-5-4-8(3)10(11)6-9/h8-9H,1,4-6H2,2-3H3/t8-,9-/m1/s1",[C][C@@H1][C][C][C@H1][Branch1][=Branch1][C][C][Ring1][=Branch1][=O][C][=Branch1][C][=C][C],large
biphenyl,c1ccc(cc1)c2ccccc2,-2.7,-3.143,InChI=1S/C12H10/c1-3-7-11(8-4-1)12-9-5-2-6-10-12/h1-10H,[C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1],large
"2,3-dimethylphenol",Cc1cccc(c1C)O,-6.16,-5.148,"InChI=1S/C8H10O/c1-6-4-3-5-8(9)7(6)2/h3-5,9H,1-2H3",[C][C][=C][C][=C][C][=Branch1][Branch1][=C][Ring1][=Branch1][C][O],large
methylparathion,COP(=S)(OC)Oc1ccc(cc1)[N+](=O)[O-],-7.19,-10.466,"InChI=1S/C8H10NO5PS/c1-12-15(16,13-2)14-8-5-3-7(4-6-8)9(10)11/h3-6H,1-2H3",[C][O][P][=Branch1][C][=S][Branch1][Ring1][O][C][O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N+1][=Branch1][C][=O][O-1],large
diethoxy-(4-nitrophenoxy)-thioxo-$l^{5}-phosphane,CCOP(=S)(OCC)Oc1ccc(cc1)[N+](=O)[O-],-6.74,-9.211,"InChI=1S/C10H14NO5PS/c1-3-14-17(18,15-4-2)16-10-7-5-9(6-8-10)11(12)13/h5-8H,3-4H2,1-2H3",[C][C][O][P][=Branch1][C][=S][Branch1][Ring2][O][C][C][O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N+1][=Branch1][C][=O][O-1],large
"1-N,1-N-diethyl-2,6-dinitro-4-(trifluoromethyl)benzene-1,3-diamine",CCN(CC)c1c(cc(c(c1[N+](=O)[O-])N)C(F)(F)F)[N+](=O)[O-],-5.66,-7.503,"InChI=1S/C11H13F3N4O4/c1-3-16(4-2)9-7(17(19)20)5-6(11(12,13)14)8(15)10(9)18(21)22/h5H,3-4,15H2,1-2H3",[C][C][N][Branch1][Ring1][C][C][C][=C][Branch2][Ring1][=Branch2][C][=C][Branch1][=N][C][=Branch1][=Branch2][=C][Ring1][=Branch1][N+1][=Branch1][C][=O][O-1][N][C][Branch1][C][F][Branch1][C][F][F][N+1][=Branch1][C][=O][O-1],large
methylsulfanylmethane,CSC,-1.61,0.44,InChI=1S/C2H6S/c1-3-2/h1-2H3,[C][S][C],very large
ketoprofen,C[C@@H](c1cccc(c1)C(=O)c2ccccc2)C(=O)O,-10.78,-17.242,"InChI=1S/C16H14O3/c1-11(16(18)19)13-8-5-9-14(10-13)15(17)12-6-3-2-4-7-12/h2-11H,1H3,(H,18,19)/t11-/m0/s1",[C][C@@H1][Branch2][Ring1][#Branch1][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O],medium
cyclopentanol,C1CCC(C1)O,-5.49,-4.29,"InChI=1S/C5H10O/c6-5-3-1-2-4-5/h5-6H,1-4H2",[C][C][C][C][Branch1][Ring2][C][Ring1][Branch1][O],large
methyl pentanoate,CCCCC(=O)OC,-2.56,-3.492,"InChI=1S/C6H12O2/c1-3-4-5-6(7)8-2/h3-5H2,1-2H3",[C][C][C][C][C][=Branch1][C][=O][O][C],large
2-methylpent-1-ene,CCCC(=C)C,1.47,2.486,"InChI=1S/C6H12/c1-4-5-6(2)3/h2,4-5H2,1,3H3",[C][C][C][C][=Branch1][C][=C][C],very large
flurbiprofen,C[C@@H](c1ccc(c(c1)F)c2ccccc2)C(=O)O,-8.42,-13.953,"InChI=1S/C15H13FO2/c1-10(15(17)18)12-7-8-13(14(16)9-12)11-5-3-2-4-6-11/h2-10H,1H3,(H,17,18)/t10-/m0/s1",[C][C@@H1][Branch2][Ring1][=Branch1][C][=C][C][=C][Branch1][Branch2][C][=Branch1][Ring2][=C][Ring1][=Branch1][F][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O],medium
nitralin,CCCN(CCC)c1c(cc(cc1[N+](=O)[O-])S(=O)(=O)C)[N+](=O)[O-],-7.98,-11.246,"InChI=1S/C13H19N3O6S/c1-4-6-14(7-5-2)13-11(15(17)18)8-10(23(3,21)22)9-12(13)16(19)20/h8-9H,4-7H2,1-3H3",[C][C][C][N][Branch1][Ring2][C][C][C][C][=C][Branch2][Ring1][=Branch1][C][=C][Branch1][#Branch2][C][=C][Ring1][=Branch1][N+1][=Branch1][C][=O][O-1][S][=Branch1][C][=O][=Branch1][C][=O][C][N+1][=Branch1][C][=O][O-1],large
chloroethylene,C=CCl,-0.59,1.162,"InChI=1S/C2H3Cl/c1-2-3/h2H,1H2",[C][=C][Cl],very large
"N,N-4-trimethylbenzamide",Cc1ccc(cc1)C(=O)N(C)C,-9.76,-8.081,"InChI=1S/C10H13NO/c1-8-4-6-9(7-5-8)10(12)11(2)3/h4-7H,1-3H3",[C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][N][Branch1][C][C][C],medium
heptan-4-one,CCCC(=O)CCC,-2.92,-2.704,"InChI=1S/C7H14O/c1-3-5-7(8)6-4-2/h3-6H2,1-2H3",[C][C][C][C][=Branch1][C][=O][C][C][C],large
methyl benzoate,COC(=O)c1ccccc1,-3.92,-4.921,"InChI=1S/C8H8O2/c1-10-8(9)7-5-3-2-4-6-7/h2-6H,1H3",[C][O][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1],large
4-methylbenzaldehyde,Cc1ccc(cc1)C=O,-4.27,-5.014,"InChI=1S/C8H8O/c1-7-2-4-8(6-9)5-3-7/h2-6H,1H3",[C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=O],large
propyl butanoate,CCCC(=O)OCCC,-2.28,-2.754,"InChI=1S/C7H14O2/c1-3-5-7(8)9-6-4-2/h3-6H2,1-2H3",[C][C][C][C][=Branch1][C][=O][O][C][C][C],very large
piperazine,C1CNCCN1,-7.4,-8.481,"InChI=1S/C4H10N2/c1-2-6-4-3-5-1/h5-6H,1-4H2",[C][C][N][C][C][N][Ring1][=Branch1],large
dialifor,CCOP(=S)(OCC)S[C@@H](CCl)N1C(=O)c2ccccc2C1=O,-5.74,-16.515,"InChI=1S/C14H17ClNO4PS2/c1-3-19-21(22,20-4-2)23-12(9-15)16-13(17)10-7-5-6-8-11(10)14(16)18/h5-8,12H,3-4,9H2,1-2H3/t12-/m0/s1",[C][C][O][P][=Branch1][C][=S][Branch1][Ring2][O][C][C][S][C@@H1][Branch1][Ring1][C][Cl][N][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring1][#Branch2][=O],large
2-ethoxyethanol,CCOCCO,-6.69,-4.407,"InChI=1S/C4H10O2/c1-2-6-4-3-5/h5H,2-4H2,1H3",[C][C][O][C][C][O],large
3-methylpentane,CCC(C)CC,2.51,2.613,"InChI=1S/C6H14/c1-4-6(3)5-2/h6H,4-5H2,1-3H3",[C][C][C][Branch1][C][C][C][C],very large
